"Дата акції від дати завантаження до дати закінчення, план | Мережа | Продукція | Еталонний місяць","06.07-16.07.25 | Варус | торт Пінчер з вишнею (0,8кг) ОПТ | Травень","06.07-16.07.25 | Варус | торт Наполеон (1,0 кг) ОПТ  | Травень","06.07-16.07.25 | Варус | торт Червоний оксамит (0,5 кг)  | Травень",Мануилова А..3 | Мануилова А..3 | Мануилова А..3 | Мануилова А..3,"06.07-16.07.25 | Варус | торт Фісташка з лохиною (0,5 кг)  | Травень"
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Нечепорук И..63,3 950
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Нечепорук И..63,633
,93 185,65 126,7 246,Нечепорук И..63,4 583
"PL, грн план",137 366,123 334,5 677,Нечепорук И..63,4 922
"PL, % план","17,02%","21,60%","6,27%",Нечепорук И..63,"9,35%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Нечепорук И..64,17.07-12.08.25
Мережа,Варус,Варус,Варус,Нечепорук И..64,Таврия
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Нечепорук И..64,"Тістечко Солона карамель-горіх  (0,150кг)"
Еталонний місяць,Травень,Травень,Травень,Нечепорук И..64,Березень-Квітень
Акційний місяць,Липень,Липень,Липень,Нечепорук И..64,Липень-Серпень
Коефіцієнт сезонності,"0,9","0,9","0,9",Нечепорук И..64,"1,1"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Нечепорук И..64,25 772
"Продажі в еталоний період, шт",1612,1588,233,Нечепорук И..64,536
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Нечепорук И..64,"70,26%"
"Відсоток акційної знижки, %",25%,25%,25%,Нечепорук И..64,15%
"Бонус, %","11,50%","11,65%","11,50%",Нечепорук И..64,14%
"Повернення без акції, %",2%,1%,10%,Нечепорук И..64,9%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Нечепорук И..64,3%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Нечепорук И..64,58%
"Витрати на активацію, грн",0,0,0,Нечепорук И..64,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Нечепорук И..64,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Нечепорук И..64,"0,83"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Нечепорук И..64,2
,,,,Нечепорук И..64,
Резульати,,,,Нечепорук И..64,
"Продажі в акційний період, шт план",5 977,5 374,542,Нечепорук И..64,1 387
"Продажі в акційний період, грн план",806 935,570 865,90 537,Нечепорук И..64,56 698
"Дохід еталоний період, грн план",144 674,116 096,21 934,Нечепорук И..64,13 284
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Нечепорук И..64,23 199
,,,,Нечепорук И..64,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Нечепорук И..64,4 252
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Нечепорук И..64,662
,93 185,65 126,7 246,Нечепорук И..64,4 914
"PL, грн план",137 366,123 334,5 677,Нечепорук И..64,5 000
"PL, % план","17,02%","21,60%","6,27%",Нечепорук И..64,"8,82%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Нечепорук И..65,17.07-12.08.25
Мережа,Варус,Варус,Варус,Нечепорук И..65,Таврия
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Нечепорук И..65,"Тістечко Наполеон  солона карамель (0,190кг)"
Еталонний місяць,Травень,Травень,Травень,Нечепорук И..65,Березень-Квітень
Акційний місяць,Липень,Липень,Липень,Нечепорук И..65,Липень-Серпень
Коефіцієнт сезонності,"0,9","0,9","0,9",Нечепорук И..65,"1,1"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Нечепорук И..65,28 516
"Продажі в еталоний період, шт",1612,1588,233,Нечепорук И..65,582
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Нечепорук И..65,"73,83%"
"Відсоток акційної знижки, %",25%,25%,25%,Нечепорук И..65,15%
"Бонус, %","11,50%","11,65%","11,50%",Нечепорук И..65,14%
"Повернення без акції, %",2%,1%,10%,Нечепорук И..65,7%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Нечепорук И..65,3%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Нечепорук И..65,61%
"Витрати на активацію, грн",0,0,0,Нечепорук И..65,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Нечепорук И..65,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Нечепорук И..65,"0,96"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Нечепорук И..65,2
,,,,Нечепорук И..65,
Резульати,,,,Нечепорук И..65,
"Продажі в акційний період, шт план",5 977,5 374,542,Нечепорук И..65,1 506
"Продажі в акційний період, грн план",806 935,570 865,90 537,Нечепорук И..65,62 735
"Дохід еталоний період, грн план",144 674,116 096,21 934,Нечепорук И..65,16 446
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Нечепорук И..65,27 528
,,,,Нечепорук И..65,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Нечепорук И..65,4 705
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Нечепорук И..65,832
,93 185,65 126,7 246,Нечепорук И..65,5 537
"PL, грн план",137 366,123 334,5 677,Нечепорук И..65,5 545
"PL, % план","17,02%","21,60%","6,27%",Нечепорук И..65,"8,84%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Нечепорук И..66,17.07-12.08.25
Мережа,Варус,Варус,Варус,Нечепорук И..66,Таврия
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Нечепорук И..66,"Тістечко Пінчер з вишнею (0,160кг)"
Еталонний місяць,Травень,Травень,Травень,Нечепорук И..66,Березень-Квітень
